WMO_ID,NAME,PROPINSI_NAME,KABUPATEN_NAME,CURRENT_LATITUDE,CURRENT_LONGITUDE,CURRENT_ELEVATION_M
97182,Stasiun Meteorologi Maritim Paotere,Sulawesi Selatan,Kota Makassar,-5.11375,119.41983,5
97184,Stasiun Klimatologi Sulawesi Selatan,Sulawesi Selatan,Kab. Maros,-4.9308,119.572,13
97186,Stasiun Geofisika Gowa,Sulawesi Selatan,Kab. Gowa,-5.218,119.47,22
97192,Stasiun Meteorologi Beto Ambari,Sulawesi Tenggara,Kota Bau Bau,-5.47,122.62,233
97230,Stasiun Meteorologi I Gusti Ngurah Rai,Bali,Kab. Badung,-8.75,115.17,4
97232,Stasiun Geofisika Denpasar,Bali,Kota Denpasar,-8.67689,115.21,15
97234,Pos Pengamatan Kahang-Kahang,Bali,Kab. Karangasem,-8.365,115.61083,155
97236,Stasiun Klimatologi Bali,Bali,Kab. Jembrana,-8.341,114.6176,25
97240,Stasiun Meteorologi Zainuddin Abdul Madjid,Nusa Tenggara Barat,Kota Mataram,-8.75277,116.24982,92
97242,Stasiun Klimatologi Nusa Tenggara Barat,Nusa Tenggara Barat,Kab. Lombok Barat,-8.63627,116.17094,55
97247,Stasiun Geofisika Alor,Nusa Tenggara Timur,Kab. Alor,-8.1445,124.5903,0
97260,Stasiun Meteorologi Sultan Muhammad Kaharuddin,Nusa Tenggara Barat,Kab. Sumbawa,-8.48845,117.41336,3
97270,Stasiun Meteorologi Sultan Muhammad Salahuddin,Nusa Tenggara Barat,Kota Bima,-8.54279,118.6928,5
97282,Stasiun Meteorologi Komodo,Nusa Tenggara Timur,Kab. Manggarai Barat,-8.48673,119.88683,67
97284,Stasiun Meteorologi Frans Sales Lega,Nusa Tenggara Timur,Kab. Manggarai,-8.63,120.45,1070
97300,Stasiun Meteorologi Fransiskus Xaverius Seda,Nusa Tenggara Timur,Kab. Sikka,-8.63577,122.23752,28
97310,Stasiun Meteorologi Gewayantana,Nusa Tenggara Timur,Kab. Flores Timur,-8.2752,122.9986,9
97320,Stasiun Meteorologi Mali,Nusa Tenggara Timur,Kab. Alor,-8.13471,124.59,10
97340,Stasiun Meteorologi Umbu Mehang Kunda,Nusa Tenggara Timur,Kab. Sumba Timur,-9.66944,120.29972,10
97342,Stasiun Geofisika Sumba Timur,Nusa Tenggara Timur,Kab. Sumba Timur,-9.66917,120.29776,13
97370,Stasiun Meteorologi Maritim Tenau,Nusa Tenggara Timur,Kota Kupang,-10.18861,123.52906,23
97372,Stasiun Meteorologi Eltari,Nusa Tenggara Timur,Kota Kupang,-10.1678,123.67039,102
97374,Stasiun Klimatologi Nusa Tenggara Timur,Nusa Tenggara Timur,Kota Kupang,-10.13861,123.66722,19
97376,Stasiun Geofisika Kupang,Nusa Tenggara Timur,Kota Kupang,-10.16453,123.58933,56
97378,Stasiun Meteorologi David Constatijn Saudale,Nusa Tenggara Timur,Kab. Rote Ndao,-10.76662,123.07395,141
97380,Stasiun Meteorologi Tardamu,Nusa Tenggara Timur,Kab. Kupang,-10.5,121.83,15
97406,Stasiun Meteorologi Gamar Malamo,Maluku Utara,Kab. Halmahera Utara,1.84092,127.7905,130
97430,Stasiun Meteorologi Sultan Babullah,Maluku Utara,Kota Ternate,0.8333,127.38,33
97432,Stasiun Geofisika Ternate,Maluku Utara,Kota Ternate,0.7719,127.3667,49
97460,Stasiun Meteorologi Oesman Sadik,Maluku Utara,Kab. Halmahera Selatan,-0.63784,127.5,14
97500,Stasiun Pemantau Atmosfer Global Puncak Vihara Klademak,Papua Barat,Kota Sorong,-0.981,131.301,10
97502,Stasiun Meteorologi Domine Eduard Osok,Papua Barat,Kota Sorong,-0.89118,131.28575,0
97504,Stasiun Geofisika Sorong,Papua Barat,Kota Sorong,-0.86,131.26,64
97530,Stasiun Meteorologi Rendani,Papua Barat,Kab. Manokwari,-0.89227,134.05041,3
97560,Stasiun Meteorologi Frans Kaisiepo,Papua,Kab. Biak Numfor,-1.19069,136.10361,3
97570,Stasiun Meteorologi Sudjarwo Tjondro Negoro,Papua,Kab. Kepulauan Yapen,-1.8754,136.23994,3
97580,Stasiun Meteorologi Mararena,Papua,Kab. Sarmi,-1.85,138.75,3
97600,Stasiun Meteorologi Emalamo,Maluku Utara,Kab. Kepulauan Sula,-2.05,126.0,2
97630,Stasiun Meteorologi Torea,Papua Barat,Kab. Fak Fak,-2.91938,132.26496,126
97682,Stasiun Meteorologi Nabire,Papua,Kab. Nabire,-3.39712,135.39171,3
97686,Stasiun Meteorologi Wamena Jaya Wijaya,Papua,Kab. Jayawijaya,-4.08861,138.94639,1653
97690,Stasiun Meteorologi Sentani,Papua,Kab. Jayapura,-2.57,140.48,96
97692,Stasiun Klimatologi Jayapura,Papua,Kab. Jayapura,-2.59231,140.16792,70
97694,Stasiun Klimatologi Papua Barat,Papua Barat,Kab. Manokwari,-1.47,134.19,20
97696,Stasiun Geofisika Jayapura,Papua,Kota Jayapura,-2.51461,140.70431,400
97698,Stasiun Meteorologi Dok II Jayapura,Papua,Kota Jayapura,-2.53,140.72,3
97700,Stasiun Meteorologi Namlea,Maluku,Kab. Buru,-3.25,127.08,10
97722,Stasiun Meteorologi Amahai,Maluku,Kab. Maluku Tengah,-3.3464,128.9284,10
97724,Stasiun Meteorologi Pattimura,Maluku,Kota Ambon,-3.7114,128.0957,14
97726,Stasiun Klimatologi Maluku,Maluku,Kab. Seram Bagian Barat,-3.25,128.4,5
97728,Stasiun Geofisika Ambon,Maluku,Kota Ambon,-3.69,128.19,83
97730,Stasiun Meteorologi Maritim Ambon,Maluku,Kota Ambon,-3.79053,128.10075,3
97748,Stasiun Meteorologi Kuffar,Maluku,Kab. Seram Bagian Timur,-3.8813,130.88,2
97760,Stasiun Meteorologi Utarom,Papua Barat,Kab. Kaimana,-3.64333,133.69694,10
97780,Stasiun Meteorologi Enarotali,Papua,Kab. Paniai,-3.92688,136.38,1650
97790,Stasiun Meteorologi Bandaneira,Maluku,Kab. Maluku Tengah,-4.52338,129.9043,15
97796,Stasiun Meteorologi Mozez Kilangin,Papua,Kab. Mimika,-4.53006,136.89348,30
97810,Stasiun Meteorologi Karel Sadsuitubun,Maluku,Kab. Maluku Tenggara,-5.6637,132.7362,10
97812,Stasiun Geofisika Nabire,Papua,Kab. Nabire,-3.46,135.473,4
97876,Stasiun Meteorologi Tanah Merah,Papua,Kab. Boven Digoel,-6.1,140.31,97
